業界分類ID	業界分類	業界名ID	業界名	対応する式のID①	対応する式のドライバー式名称1	対応する式のID②	対応する式のドライバー式名称2	対応する式のID③	対応する式のドライバー式名称3	備考
1	農業、林業	1	農業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
1	農業、林業	2	林業	7	採取数量×出荷率型	-	N/A	-	N/A	
2	漁業	3	漁業（水産養殖除く）	7	採取数量×出荷率型	-	N/A	-	N/A	
2	漁業	4	水産養殖業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
3	鉱業、採石業、砂利採取業	5	鉱業・採石・砂利採取	7	採取数量×出荷率型	-	N/A	-	N/A	
4	建設業	6	総合工事業	14	契約数×契約単価型①	-	N/A	-	N/A	
4	建設業	7	職別工事業	14	契約数×契約単価型①	-	N/A	-	N/A	
4	建設業	8	設備工事業	14	契約数×契約単価型①	-	N/A	-	N/A	
5	製造業	9	食料品製造業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	10	飲料・たばこ・飼料製造業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	11	繊維工業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	12	木材・木製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	13	家具・装備品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	14	パルプ・紙・紙加工品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	15	印刷・同関連	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	16	化学工業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	17	石油製品・石炭製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	18	プラスチック製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	19	ゴム製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	20	なめし革・毛皮製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	21	窯業・土石製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	22	鉄鋼業	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	23	非鉄金属製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	24	金属製品製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	25	はん用機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	26	生産用機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	27	業務用機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	28	電子部品・デバイス製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	29	電気機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	30	情報通信機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
5	製造業	31	輸送用機械器具製造	8	生産・製造数量×出荷率型	-	N/A	-	N/A	
