id,validation_id,name,description,agent_prompt,initial_msg,dummy_hint,issue_order
11000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,ターゲット展開エリア・国選定,ターゲット展開エリア・国選定-当該市場における現在の市場シェアは,売上データを時系列で分析してください,売上推移の分析を開始します,月別データをアップロードしてください,1
11000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,ターゲット展開エリア・国選定,ターゲット展開エリア・国選定-当該市場における今後の市場規模の推移は,商品別の売上構成を分析してください,商品別売上の分析を開始します,商品マスタと売上データが必要です,2
11000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000002,プライシング戦略策定,プライシング戦略策定-当該製品セグメントの利益構造を踏まえ、最適なプライシング水準はどの程度か,部門別のコスト内訳を分析してください,部門別コストの分析を開始します,部門別の経費データをご用意ください,1
11000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000003,改革テーマ全体像,改革テーマ全体像-各改革テーマによって創出されるビジネス効果はどの程度か,コストの変動費・固定費比率を分析してください,変動費固定費の分析を開始します,科目別の費用データが必要です,1
11000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000004,原価・原材料費削減,原価・原材料費削減-当該製品セグメントにおける対象会社・競合の利益構造は,顧客セグメントを分析してください,顧客セグメント分析を開始します,顧客属性データをご用意ください,1
11000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000005,高スキル営業人員のノウハウ横展開,高スキル営業人員のノウハウ横展開-営業プロセスのうち、今後各施策によって改善が見込まれるのはどこで、その改善効果はどの程度か,顧客LTVを計算・分析してください,顧客LTV分析を開始します,購買履歴データが必要です,1
11000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000005,高スキル営業人員のノウハウ横展開,高スキル営業人員のノウハウ横展開-営業プロセスのうち、歩留まりが悪化しているのはどこか,在庫回転率を分析してください,在庫回転率の分析を開始します,在庫データと出荷データが必要です,2
11000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,在庫水準の最適化,在庫水準の最適化-当該製品セグメントにおける在庫水準・販売実績の乖離は-1,人員配置を分析してください,人員配置分析を開始します,組織図と人員データが必要です,1
11000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000006,在庫水準の最適化,在庫水準の最適化-当該製品セグメントにおける在庫水準・販売実績の乖離は-2,広告ROIを分析してください,広告効果分析を開始します,広告費用と成果データが必要です,2
11000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000007,新規販路・パートナー開拓,新規販路・パートナー開拓-当該市場における現在の販路別市場シェアは,生産効率を分析してください,生産効率分析を開始します,生産実績データが必要です,1
11000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000008,製品統廃合,製品統廃合-当該製品セグメントにおける各製品の粗利率・販売高は,製品ポートフォリオを分析してください,製品統廃合分析を開始します,製品別損益データが必要です,1
11000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000009,調達先見直し,調達先見直し-当該製品セグメントにおける原材料の調達先社数・調達額は,調達コストを分析してください,調達先見直し分析を開始します,調達データが必要です,1
11000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000010,販促チャネル・外注先見直し,販促チャネル・外注先見直し-チャネル別には、どの販促チャネルが顧客獲得単価が高く見直し余地があるか,販促チャネルを分析してください,販促チャネル分析を開始します,販促費用データが必要です,1
11000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000010,販促チャネル・外注先見直し,販促チャネル・外注先見直し-ベンダー別にみると、どのベンダーの顧客獲得単価が高く、見直し余地があるか,ベンダー別コストを分析してください,ベンダー分析を開始します,ベンダー別支払データが必要です,2
11000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000010,販促チャネル・外注先見直し,販促チャネル・外注先見直し-販促チャネル見直しによるビジネス効果は,販促効果を分析してください,販促効果分析を開始します,販促実績データが必要です,3
11000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000011,販売パートナー網見直し,販売パートナー網見直し-販売パートナー見直しによるビジネス効果は,パートナー効果を分析してください,パートナー分析を開始します,パートナー別販売データが必要です,1
11000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000012,不採算製品の撤退,不採算製品の撤退-不採算製品から撤退した場合の利益改善効果は,不採算分析を行ってください,不採算製品分析を開始します,製品別収支データが必要です,1
